{'loss': 0.4238, 'learning_rate': 0.0002817272727272727, 'epoch': 0.34, 'steps': 167}
{'loss': 0.3983, 'learning_rate': 0.00028145454545454546, 'epoch': 0.34, 'steps': 168}
{'loss': 0.404, 'learning_rate': 0.00028118181818181817, 'epoch': 0.34, 'steps': 169}
{'loss': 0.3964, 'learning_rate': 0.0002809090909090909, 'epoch': 0.35, 'steps': 170}
{'loss': 0.3803, 'learning_rate': 0.0002806363636363636, 'epoch': 0.35, 'steps': 171}
{'loss': 0.4007, 'learning_rate': 0.00028036363636363637, 'epoch': 0.35, 'steps': 172}
{'loss': 0.378, 'learning_rate': 0.00028009090909090903, 'epoch': 0.35, 'steps': 173}
{'loss': 0.3831, 'learning_rate': 0.0002798181818181818, 'epoch': 0.35, 'steps': 174}
{'loss': 0.3773, 'learning_rate': 0.0002795454545454545, 'epoch': 0.36, 'steps': 175}
{'loss': 0.3684, 'learning_rate': 0.00027927272727272724, 'epoch': 0.36, 'steps': 176}
{'loss': 0.3693, 'learning_rate': 0.000279, 'epoch': 0.36, 'steps': 177}
{'loss': 0.3671, 'learning_rate': 0.0002787272727272727, 'epoch': 0.36, 'steps': 178}
{'loss': 0.3509, 'learning_rate': 0.00027845454545454544, 'epoch': 0.36, 'steps': 179}
{'loss': 0.3474, 'learning_rate': 0.00027818181818181815, 'epoch': 0.37, 'steps': 180}
{'loss': 0.3529, 'learning_rate': 0.00027790909090909087, 'epoch': 0.37, 'steps': 181}
{'loss': 0.3299, 'learning_rate': 0.0002776363636363636, 'epoch': 0.37, 'steps': 182}
{'loss': 0.3344, 'learning_rate': 0.00027736363636363635, 'epoch': 0.37, 'steps': 183}
{'loss': 0.329, 'learning_rate': 0.00027709090909090907, 'epoch': 0.37, 'steps': 184}
{'loss': 0.3226, 'learning_rate': 0.0002768181818181818, 'epoch': 0.38, 'steps': 185}
{'loss': 0.3356, 'learning_rate': 0.00027654545454545456, 'epoch': 0.38, 'steps': 186}
{'loss': 0.3011, 'learning_rate': 0.00027627272727272727, 'epoch': 0.38, 'steps': 187}
{'loss': 0.306, 'learning_rate': 0.000276, 'epoch': 0.38, 'steps': 188}
{'loss': 0.2832, 'learning_rate': 0.0002757272727272727, 'epoch': 0.38, 'steps': 189}
{'loss': 0.2902, 'learning_rate': 0.0002754545454545454, 'epoch': 0.39, 'steps': 190}
{'loss': 0.2953, 'learning_rate': 0.00027518181818181813, 'epoch': 0.39, 'steps': 191}
{'loss': 0.2783, 'learning_rate': 0.0002749090909090909, 'epoch': 0.39, 'steps': 192}
{'loss': 0.2713, 'learning_rate': 0.0002746363636363636, 'epoch': 0.39, 'steps': 193}
{'loss': 0.2713, 'learning_rate': 0.00027436363636363634, 'epoch': 0.39, 'steps': 194}
{'loss': 0.2723, 'learning_rate': 0.0002740909090909091, 'epoch': 0.4, 'steps': 195}
{'loss': 0.2611, 'learning_rate': 0.00027381818181818177, 'epoch': 0.4, 'steps': 196}
{'loss': 0.2561, 'learning_rate': 0.00027354545454545454, 'epoch': 0.4, 'steps': 197}
{'loss': 0.2564, 'learning_rate': 0.00027327272727272725, 'epoch': 0.4, 'steps': 198}
{'loss': 0.2618, 'learning_rate': 0.00027299999999999997, 'epoch': 0.41, 'steps': 199}
{'loss': 0.3419, 'learning_rate': 0.0002727272727272727, 'epoch': 0.41, 'steps': 200}
{'loss': 0.5997, 'learning_rate': 0.00027245454545454545, 'epoch': 0.41, 'steps': 201}
{'loss': 0.5609, 'learning_rate': 0.00027218181818181817, 'epoch': 0.41, 'steps': 202}
{'loss': 0.536, 'learning_rate': 0.0002719090909090909, 'epoch': 0.41, 'steps': 203}
{'loss': 0.4846, 'learning_rate': 0.0002716363636363636, 'epoch': 0.42, 'steps': 204}
{'loss': 0.4904, 'learning_rate': 0.0002713636363636363, 'epoch': 0.42, 'steps': 205}
{'loss': 0.4874, 'learning_rate': 0.0002710909090909091, 'epoch': 0.42, 'steps': 206}
{'loss': 0.4868, 'learning_rate': 0.0002708181818181818, 'epoch': 0.42, 'steps': 207}
{'loss': 0.4588, 'learning_rate': 0.0002705454545454545, 'epoch': 0.42, 'steps': 208}
{'loss': 0.4501, 'learning_rate': 0.00027027272727272723, 'epoch': 0.43, 'steps': 209}
{'loss': 0.4449, 'learning_rate': 0.00027, 'epoch': 0.43, 'steps': 210}
{'loss': 0.4389, 'learning_rate': 0.00026972727272727266, 'epoch': 0.43, 'steps': 211}
{'loss': 0.4465, 'learning_rate': 0.00026945454545454543, 'epoch': 0.43, 'steps': 212}
{'loss': 0.4144, 'learning_rate': 0.00026918181818181815, 'epoch': 0.43, 'steps': 213}
{'loss': 0.4202, 'learning_rate': 0.00026890909090909087, 'epoch': 0.44, 'steps': 214}
{'loss': 0.4208, 'learning_rate': 0.00026863636363636364, 'epoch': 0.44, 'steps': 215}
{'loss': 0.4011, 'learning_rate': 0.00026836363636363635, 'epoch': 0.44, 'steps': 216}
{'loss': 0.4122, 'learning_rate': 0.00026809090909090907, 'epoch': 0.44, 'steps': 217}
{'loss': 0.3946, 'learning_rate': 0.0002678181818181818, 'epoch': 0.44, 'steps': 218}
{'loss': 0.3809, 'learning_rate': 0.00026754545454545455, 'epoch': 0.45, 'steps': 219}
{'loss': 0.3833, 'learning_rate': 0.0002672727272727272, 'epoch': 0.45, 'steps': 220}
